

ESTACIÓN AUTOMÁTICA: Ourense
CONCELLO: Ourense
PROVINCIA: Ourense

CÓDIGOS DE VALIDACIÓN DOS DATOS:
0:  Dato sen validar
1:  Dato válido orixinal
2:  Dato sospeitoso
3:  Dato erróneo
4:  Dato acumulado                                    
5:  Dato válido interpolado
9:  Dato non rexistrado


Nota: O valor -9999 indicará dato non rexistrado

Tipo de consulta: Variables diarias
Período:01/4/2015-23/10/2015


COD.VALIDACIÓN  DATA          PARÁMETRO (Unidades)                     VALOR
      1          19/07/2015    Temperatura media (ºC)                    22,9
      1          20/07/2015    Temperatura media (ºC)                    26,8
      1          21/07/2015    Temperatura media (ºC)                    26,2
      1          22/07/2015    Temperatura media (ºC)                    24,6
      1          23/07/2015    Temperatura media (ºC)                    23,8
      1          24/07/2015    Temperatura media (ºC)                    22,1
      1          25/07/2015    Temperatura media (ºC)                    22,1
      1          26/07/2015    Temperatura media (ºC)                    22,4
      1          27/07/2015    Temperatura media (ºC)                    23,3
      1          28/07/2015    Temperatura media (ºC)                    22,2
      1          29/07/2015    Temperatura media (ºC)                    24,4
      1          30/07/2015    Temperatura media (ºC)                    20,8
      1          31/07/2015    Temperatura media (ºC)                    20,3
      1          01/08/2015    Temperatura media (ºC)                    22,7
      1          02/08/2015    Temperatura media (ºC)                    23,8
      1          03/08/2015    Temperatura media (ºC)                    20,5
      1          04/08/2015    Temperatura media (ºC)                    21,9
      1          05/08/2015    Temperatura media (ºC)                    21,3
      1          06/08/2015    Temperatura media (ºC)                    22,5
      1          07/08/2015    Temperatura media (ºC)                    19,5
      1          08/08/2015    Temperatura media (ºC)                    19,9
      1          09/08/2015    Temperatura media (ºC)                    23,7
      1          10/08/2015    Temperatura media (ºC)                    25
      1          11/08/2015    Temperatura media (ºC)                    23,7
      1          12/08/2015    Temperatura media (ºC)                    22,5
      1          13/08/2015    Temperatura media (ºC)                    17,4
      1          14/08/2015    Temperatura media (ºC)                    17,4
      1          15/08/2015    Temperatura media (ºC)                    19,3
      1          16/08/2015    Temperatura media (ºC)                    20,6
      1          17/08/2015    Temperatura media (ºC)                    22,5
      1          18/08/2015    Temperatura media (ºC)                    21,8
      1          19/08/2015    Temperatura media (ºC)                    23,4
      1          20/08/2015    Temperatura media (ºC)                    25,3
      1          21/08/2015    Temperatura media (ºC)                    25,7
      1          22/08/2015    Temperatura media (ºC)                    19,5
      1          23/08/2015    Temperatura media (ºC)                    16,9
      1          24/08/2015    Temperatura media (ºC)                    17,8
      1          25/08/2015    Temperatura media (ºC)                    21,4
      1          26/08/2015    Temperatura media (ºC)                    20,9
      1          27/08/2015    Temperatura media (ºC)                    23,9
      1          28/08/2015    Temperatura media (ºC)                    25,9
      1          29/08/2015    Temperatura media (ºC)                    26,1
      1          30/08/2015    Temperatura media (ºC)                    25,9
      1          31/08/2015    Temperatura media (ºC)                    22,2
      1          01/09/2015    Temperatura media (ºC)                    21,2
      1          02/09/2015    Temperatura media (ºC)                    19,4
      1          03/09/2015    Temperatura media (ºC)                    18,7
